acc_rate,track,m,n,current_pitch,current_roll,absoluate_roll,climb_delta,roll_rate_delta,climb_delta_diff,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time1_delta,time2_delta,time3_delta,time4_delta,time5_delta,time6_delta,time7_delta,time8_delta,time9_delta,time10_delta,time11_delta,time12_delta,time13_delta,time14_delta,omega,set,target
-229.0,4.0,1.2460767305873808,-0.04,1.0,-0.8,-7.0,4.0,0.004,0.1,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.052,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.2231435513142097,0.026,0.7
271.0,-25.0,0.9801986733067553,0.15,0.35,1.2,-19.0,1.0,-0.019,-0.2,0.022,0.022,0.022,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.044,0.022,0.022,0.022,0.0,0.0,0.001,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.022,1.3
-102.0,-34.0,0.5066169923655895,0.02,0.61,2.2,-11.0,6.0,-0.011,0.3,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.036,0.018,0.018,0.019,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.001,-10.0,-0.6931471805599453,0.019,0.8
439.0,-5.0,0.9048374180359596,0.04,0.13,1.3,-12.0,1.0,-0.008,0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.036,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018,1.0
-99.0,-45.0,0.4493289641172215,0.18,1.03,0.7,-17.0,2.0,-0.032,-0.2,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.035,0.07,0.035,0.035,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,8.999,0.0,0.001,-10.0,-0.1053605156578262,0.034,1.6
258.0,12.0,1.4918246976412703,0.2,0.33,0.4,-14.0,11.0,0.016,-2.9,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.044,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.022,1.1
-200.0,-7.0,1.3634251141321778,0.03,1.35,-0.8,-12.0,3.0,-0.006,-0.2,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.078,0.039,0.039,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,0.0953101798043249,0.039,1.6
-127.0,10.0,1.0408107741923882,0.08,0.67,1.1,-6.0,-9.0,-0.0069999999999999,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.02,0.5
32.0,-20.0,1.161834242728283,0.01,0.49,0.9,-9.0,-8.0,-0.01,2.0,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.036,0.018,0.018,0.018,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018,1.0
63.0,-11.0,0.8269591339433623,0.03,0.84,-2.1,-8.0,-3.0,0.0139999999999999,0.0,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.064,0.032,0.032,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.1053605156578262,0.032,0.4
421.0,-4.0,0.8105842459701871,0.08,0.16,-0.5,-12.0,-2.0,0.006,-0.3,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.038,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.019,0.7
-149.0,25.0,0.6907343306373547,0.11,0.69,0.5,-10.0,-8.0,0.009,-0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.02,0.5
-126.0,-33.0,1.803988415397857,-0.07,0.6,0.3,-10.0,13.0,0.002,-0.8,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.034,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.017,0.8
-30.0,-26.0,1.4769807938826427,0.25,1.16,0.4,-15.0,-10.0,-0.0139999999999999,-1.1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,0.0953101798043249,0.04,2.1
-20.0,-2.0,0.8521437889662113,0.09,0.8,0.2,-10.0,-6.0,-0.008,-0.1,0.027,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0559999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.2231435513142097,0.0279999999999999,0.9
328.0,30.0,1.973877732230448,0.38,0.67,-0.6,-19.0,-20.0,-0.006,0.1,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.074,0.037,0.037,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.002,-10.0,0.0953101798043249,0.038,1.9
124.0,-37.0,1.4477346146633243,-0.08,0.36,0.5,-7.0,9.0,0.003,0.0,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.032,0.016,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.016,0.5
-137.0,-12.0,1.1274968515793755,0.03,0.67,-1.7,-8.0,-2.0,0.0069999999999999,0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.038,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.019,0.5
187.0,-38.0,1.010050167084168,0.15,0.65,1.9,-12.0,-8.0,-0.018,-0.8,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0559999999999999,0.0279999999999999,0.0279999999999999,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.002,-10.0,-0.2231435513142097,0.03,1.3
410.0,23.0,0.9417645335842488,-0.05,0.11,-0.7,-7.0,5.0,0.01,0.3,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.034,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.017,0.3
-318.0,-43.0,1.3498588075760032,-0.19,0.73,-0.7,-14.0,29.0,0.019,1.2,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.032,0.016,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.916290731874155,0.016,1.1
-128.0,13.0,1.1051709180756475,0.01,0.63,-0.5,-6.0,1.0,0.0069999999999999,-0.2,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.036,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018,0.5
-146.0,7.0,0.794533602503334,0.26,1.3,-0.6,-19.0,0.0,-0.002,-0.4,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.084,0.042,0.042,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.001,-10.0,0.1823215567939546,0.042,1.6
-36.0,-18.0,0.7117703227626097,0.24,0.91,0.8,-18.0,-10.0,-0.017,0.4,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.064,0.032,0.032,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.1053605156578262,0.032,1.0
-392.0,-62.0,1.2092495976572517,-0.05,0.87,-0.8,-8.0,7.0,0.015,-0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.036,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018,0.5
-325.0,7.0,1.0618365465453596,0.2,0.91,0.6,-9.0,-18.0,-0.004,-0.1,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.044,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.022,0.8
101.0,27.0,1.2586000099294778,0.29,0.57,0.5,-12.0,-32.0,-0.022,1.3,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.048,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.3566749439387324,0.024,1.0
-45.0,22.0,0.7866278610665535,0.0,0.55,1.5,-5.0,0.0,-0.0139999999999999,-0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.036,0.018,0.018,0.018,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018,0.5
346.0,6.0,0.6703200460356393,0.18,0.45,-0.4,-18.0,-6.0,-0.009,0.3,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0579999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.2231435513142097,0.0289999999999999,1.3
-163.0,-71.0,0.8187307530779818,-0.03,0.75,1.1,-10.0,6.0,0.008,-0.1,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.042,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.021,1.0
21.0,4.0,0.7710515858035663,0.1,1.2,1.0,-18.0,1.0,0.011,1.1,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.09,0.045,0.045,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,0.262364264467491,0.045,2.0
343.0,-54.0,1.030454533953517,-0.12,0.34,1.2,-11.0,16.0,0.0,-0.2,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.048,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.3566749439387324,0.024,1.1
-60.0,-19.0,1.161834242728283,0.02,0.55,-0.6,-6.0,-1.0,-0.002,0.0,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.034,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.017,0.6
-119.0,-5.0,0.6907343306373547,0.14,0.63,0.5,-12.0,4.0,-0.009,-0.9,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.038,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.999,0.0,-0.001,-10.0,-0.6931471805599453,0.02,0.8
-83.0,-21.0,1.3099644507332473,0.12,0.73,2.4,-17.0,1.0,-0.01,-0.1,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.042,0.022,0.022,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.998,0.0,-0.002,-10.0,-0.3566749439387324,0.024,1.5
-257.0,-20.0,1.2712491503214047,-0.08,0.75,0.3,-7.0,1.0,-0.002,0.7,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.032,0.016,0.016,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.002,-10.0,-0.6931471805599453,0.017,0.6
165.0,-11.0,1.0202013400267558,-0.02,0.33,-0.2,-9.0,5.0,0.001,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.034,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.017,0.7
255.0,-14.0,1.5999941932173602,0.34,0.47,-2.1,-20.0,-12.0,0.039,-1.3,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.052,0.026,0.026,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.002,-10.0,-0.3566749439387324,0.027,1.1
99.0,36.0,1.4769807938826427,0.03,0.42,-0.4,-6.0,-3.0,0.005,0.0,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.036,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018,0.5
399.0,13.0,1.0832870676749586,0.1,0.19,0.5,-11.0,-7.0,-0.018,-0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.02,0.8
-368.0,-75.0,1.5219615556186337,-0.3,1.27,-0.5,-12.0,22.0,0.0139999999999999,2.4,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.1053605156578262,0.03,1.4
-26.0,-15.0,0.835270211411272,0.08,0.56,0.1,-12.0,-3.0,0.004,-0.2,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.038,0.019,0.019,0.019,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.019,0.9
-276.0,17.0,1.4190675485932571,0.0,0.75,0.4,-6.0,1.0,-0.006,-0.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.034,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.017,0.6
-332.0,-23.0,0.6004955788122659,0.1,0.86,0.4,-16.0,-2.0,-0.005,0.3,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.038,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.998,0.0,0.0,-10.0,-0.5108256237659907,0.02,0.7
-148.0,-44.0,0.9231163463866358,-0.04,0.62,0.0,-19.0,15.0,0.021,1.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.034,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.017,1.1
98.0,4.0,0.9048374180359596,0.03,0.41,0.5,-5.0,-4.0,-0.0069999999999999,-0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.036,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018,0.4
-27.0,3.0,1.1735108709918105,0.06,0.85,0.4,-6.0,-5.0,0.002,-0.2,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0579999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.2231435513142097,0.0289999999999999,0.6
275.0,8.0,1.0832870676749586,-0.04,0.23,0.1,-13.0,11.0,0.013,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.034,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.017,0.7
-120.0,-33.0,0.6636502501363194,-0.13,0.57,0.7,-5.0,14.0,-0.013,0.0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.017,0.017,0.016,0.032,0.016,0.016,0.016,-0.001,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.001,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.016,0.5
-285.0,-42.0,0.6703200460356393,0.02,0.96,0.9,-17.0,14.0,-0.012,-0.5,0.025,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.048,0.024,0.024,0.024,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.3566749439387324,0.024,1.2
-134.0,-15.0,0.7866278610665535,0.01,1.03,-0.9,-7.0,-2.0,-0.001,0.2,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.062,0.031,0.031,0.031,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.1053605156578262,0.031,0.5
141.0,-28.0,1.3099644507332473,-0.03,0.35,0.7,-14.0,13.0,-0.004,-0.6,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.034,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.017,1.1
280.0,-22.0,1.3099644507332473,0.04,0.28,-0.5,-11.0,2.0,0.004,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.038,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.019,0.8
50.0,-50.0,1.2586000099294778,0.17,0.84,-1.9,-20.0,4.0,0.039,-0.5,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.033,0.033,0.033,0.066,0.032,0.032,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.1053605156578262,0.032,2.0
579.0,-4.0,1.1972173631218102,-0.07,0.04,0.5,-8.0,10.0,0.005,0.0,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.046,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.002,0.0,0.0,-10.0,-0.5108256237659907,0.021,0.8
98.0,-7.0,1.2336780599567432,0.09,0.72,-0.8,-13.0,-2.0,0.023,-0.2,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0579999999999999,0.0289999999999999,0.0289999999999999,0.0289999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.2231435513142097,0.0289999999999999,1.0
177.0,-31.0,1.161834242728283,0.07,0.4,1.5,-7.0,-8.0,-0.008,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.02,0.7
-84.0,-5.0,1.161834242728283,0.1,0.63,1.0,-12.0,-9.0,-0.009,0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.02,0.9
341.0,-3.0,0.8869204367171575,0.28,0.51,0.5,-12.0,-10.0,-0.012,-1.7,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.064,0.032,0.032,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.1053605156578262,0.032,1.1
329.0,-10.0,0.697676326071031,0.15,0.26,-0.9,-11.0,-13.0,0.004,-0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.02,0.5
-213.0,-10.0,1.0618365465453596,0.03,1.58,-0.3,-12.0,8.0,-0.008,-0.6,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.092,0.046,0.046,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,0.262364264467491,0.046,1.4
-3.0,-90.0,0.7866278610665535,-0.14,0.47,0.1,-11.0,22.0,0.023,-0.3,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.032,0.016,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.999,0.0,-0.001,-10.0,-0.6931471805599453,0.016,0.8
